business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,place_id,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,photos,plus_code,permanently_closed
OPERATIONAL,"{'location': {'lat': -5.9787262, 'lng': 106.7101846}, 'viewport': {'northeast': {'lat': -5.977380920107278, 'lng': 106.7115421798927}, 'southwest': {'lat': -5.980080579892721, 'lng': 106.7088425201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Warung nasi Bu Ulfa pantai sakura,ChIJVYJGKN4Fai4RHg5UIf_2Ar8,5.0,ChIJVYJGKN4Fai4RHg5UIf_2Ar8,GOOGLE,"['tourist_attraction', 'point_of_interest', 'establishment']",2,"2PC6+G33 Pantai sakura, Pulau Untung Jawa, Kab. Administrasi Kepulauan Seribu",,,,
OPERATIONAL,"{'location': {'lat': -5.803364999999999, 'lng': 106.5226904}, 'viewport': {'northeast': {'lat': -5.802340120107278, 'lng': 106.5239887298927}, 'southwest': {'lat': -5.805039779892722, 'lng': 106.5212890701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pulau Tidung,ChIJPbt-CuzfQS4RylyLzE1bhYo,4.6,ChIJPbt-CuzfQS4RylyLzE1bhYo,GOOGLE,"['tourist_attraction', 'point_of_interest', 'establishment']",965,"5GWF+M34, Tidung Island, Kepulauan Seribu Regency",{'open_now': True},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113627008247865492426"">cep budhi darma</a>'], 'photo_reference': 'AZose0lpu7eeNRnlFY8Xbm27aBrnmVgs8V8fr_NKagc_oKBtgpzX71WViP08ZeMjBXaVaFRR-dHvC3vJpFbs6-mO60iEXd9fixC1-cYr3RWkvMkbEJFxKT1i0RLzHQSsa1MUGMOCrG68apqtsgntC62WHu4i-n0s1DetK0E--HHJiAQF9f_Z', 'width': 2048}]",,
OPERATIONAL,"{'location': {'lat': -5.8053176, 'lng': 106.5222084}, 'viewport': {'northeast': {'lat': -5.803303220107278, 'lng': 106.5236635798927}, 'southwest': {'lat': -5.806002879892722, 'lng': 106.5209639201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Wisata Pulau Tidung Kecil,ChIJd2nqpuHfQS4Rk9UfxA_Oego,4.9,ChIJd2nqpuHfQS4Rk9UfxA_Oego,GOOGLE,"['tourist_attraction', 'point_of_interest', 'establishment']",7,"5GVC+VVG, Unnamed Road, Pulau Tidung, Kab. Administrasi Kepulauan Seribu",,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109974960019144862698"">John Stefanus Chandra</a>'], 'photo_reference': 'AZose0mk-OE19pjxPAj6OT7VzU8II5Nj7Y19UNl3vQOxrPELWSRwhQaPLxks88xjEJlL6CsJFGXhFzEaoomYxeemfyyFAdY6-Ck2jvLqiGWbIT5pI-qg6OEp128Y1jBMbf3GP-YElSaFyCssxm-aiisZumwSVLoBQGd98_fyYzwaaDsa88qR', 'width': 4160}]",,
OPERATIONAL,"{'location': {'lat': -5.803205300000001, 'lng': 106.5237907}, 'viewport': {'northeast': {'lat': -5.801740270107278, 'lng': 106.5252635798927}, 'southwest': {'lat': -5.804439929892722, 'lng': 106.5225639201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tidung Water Sport,ChIJq6qqGvLfQS4RR6LwgMBzS1k,4.5,ChIJq6qqGvLfQS4RR6LwgMBzS1k,GOOGLE,"['tourist_attraction', 'point_of_interest', 'establishment']",13,"5GWF+PG7, Tidung Island, Kepulauan Seribu Regency",{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107347490832905065632"">Raffa Destianti</a>'], 'photo_reference': 'AZose0nloII5UoVLqNyIg1-hVIv0oslVewlgq_sHTCzn9Zt6WKUm7Nz4VdWUZ5Z6gKmsx7UNrkc-Bdko3oKC2cMWNqyrzR_Kw9TjhUoZMpusZ7lXt41-IsDVoejw621vTqb6M7Vsly7UjmjfbSQ4L1dxXP3P2uldxgjmwJpcC99uvClBGbYR', 'width': 4032}]",,
OPERATIONAL,"{'location': {'lat': -6.1721641, 'lng': 106.8233829}, 'viewport': {'northeast': {'lat': -6.170806120107277, 'lng': 106.8246157298927}, 'southwest': {'lat': -6.173505779892721, 'lng': 106.8219160701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Taman Pandang Istana,ChIJv0uKBdT1aS4RMm701q_set8,4.5,ChIJv0uKBdT1aS4RMm701q_set8,GOOGLE,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",2257,"Jalan Silang Monas Barat Laut, RT.5/RW.2, Gambir, RT.5/RW.2, Gambir, Kota Jakarta Pusat",{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104286192979363293628"">Prista Desfia</a>'], 'photo_reference': 'AZose0kNkRngVcoORGLFAe4f0U7Awu3zk6S1Mb19_fTz_QdRWnR7_IMWShHWYWODP-zrhU6WS_v6IUpNglozPGeV3dT8LLYWFm22NJ1VKTLfXGWlGnazV7fnRJ0lA4nhlpHv_hcSG3ZUgMo8mW6D4ObyX-OkuqWJhlMPgMphsWcB8nIRLt_O', 'width': 3000}]","{'compound_code': 'RRHF+49 Gambir, Central Jakarta City, Jakarta', 'global_code': '6P58RRHF+49'}",
OPERATIONAL,"{'location': {'lat': -6.187806699999999, 'lng': 106.8236216}, 'viewport': {'northeast': {'lat': -6.186454770107278, 'lng': 106.8248070298927}, 'southwest': {'lat': -6.189154429892722, 'lng': 106.8221073701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Sky Deck Sarinah,ChIJPcLn3t_1aS4R84N46jpvzpM,4.0,ChIJPcLn3t_1aS4R84N46jpvzpM,GOOGLE,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"Sarinah, Jl. M.H. Thamrin No.11, RT.8/RW.4, Gondangdia, Kota Jakarta Pusat",,"[{'height': 4624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107569187825714399593"">A Google User</a>'], 'photo_reference': 'AZose0mUiMfF2WAW-BwiWNlrl8nZbiQnfxPcc0wOoQDdJhyw9cDthUGtisfgvGyvc8IxMRO3XQGx4QQAqk2QxJKt7wtR7AJ6wDB8tUFdg7OGRjSTcCxVgMsDy4mghxBiGHG7xc1Gw9FbPkQohXwiGhPT_XrfB5HRwCJDu5Lzn1YEZXNHoOH5', 'width': 3468}]","{'compound_code': 'RR6F+VC Gondangdia, Central Jakarta City, Jakarta', 'global_code': '6P58RR6F+VC'}",
OPERATIONAL,"{'location': {'lat': -6.1718907, 'lng': 106.8272242}, 'viewport': {'northeast': {'lat': -6.170328220107279, 'lng': 106.8286553298927}, 'southwest': {'lat': -6.173027879892723, 'lng': 106.8259556701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,National Monument Park,ChIJa5LTMdL1aS4RL3717sOR2YA,4.6,ChIJa5LTMdL1aS4RL3717sOR2YA,GOOGLE,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",7688,"5, Jl. Medan Merdeka Utara No.2, RT.5/RW.2, Gambir, Kota Jakarta Pusat",,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116696679611858342909"">nuning dwi indah lestari</a>'], 'photo_reference': 'AZose0mIWiNva9Ce8hsHh2JCDY0susjPIsYUDFSR3leAm6kMRM-jlG-1Gc4ihmzZPw8zTCYz5hoso8qIv7dehFcNFAQMRZ6AxZT8OrtfKDo7n0iZV9EUMTsYOiESwUrR6Bl8kazCh1poCFQ6DbykScnhUiJyQt8Du2ZJXkjv7DLHl3E9qJQU', 'width': 3024}]","{'compound_code': 'RRHG+6V Gambir, Central Jakarta City, Jakarta', 'global_code': '6P58RRHG+6V'}",
OPERATIONAL,"{'location': {'lat': -6.170554999999999, 'lng': 106.8350378}, 'viewport': {'northeast': {'lat': -6.169611620107279, 'lng': 106.8382978}, 'southwest': {'lat': -6.172311279892723, 'lng': 106.8318254}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Lapangan Banteng Park,ChIJA88y_8v1aS4RbfwYWObt98A,4.7,ChIJA88y_8v1aS4RbfwYWObt98A,GOOGLE,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",22174,"RRHP+Q2F, Pasar Baru, Central Jakarta City",,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108107529834075024275"">Muhammad Fachry</a>'], 'photo_reference': 'AZose0l_PjtNMrixve4IC_23BQMuV8NdDBV6_XxSvrtB_ymNRxdR_xlAKufPG9STQBcPmm7oVMRB8mUAaa3feYcI-0LeUtdXJUaah7TpS3rAhOGnLPFoL74vqSqPE4tVPxZIiSAH5jM2P_ZPrZtdBGAV4_TiWJJjOqpKSzVNseQcQ-QT5p_0', 'width': 4000}]",,
OPERATIONAL,"{'location': {'lat': -6.1751466, 'lng': 106.8302091}, 'viewport': {'northeast': {'lat': -6.173856670107279, 'lng': 106.8315732798927}, 'southwest': {'lat': -6.176556329892723, 'lng': 106.8288736201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,GAMBIR STATION,ChIJmZ312u31aS4RuKL2Pwd0jLk,4.6,ChIJmZ312u31aS4RuKL2Pwd0jLk,GOOGLE,"['tourist_attraction', 'point_of_interest', 'establishment']",41,"RRFJ+W3W, pojok umkm indonesia stasiun gambir pintu keluar utara, RT.5/RW.2, Gambir, Kota Jakarta Pusat",,"[{'height': 3468, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109678148954699013193"">Kim Nguyen</a>'], 'photo_reference': 'AZose0kGSYWfXGYRdusfqm6x-5uUyUD6-dq_NQXpREoJC42qzeGR8kRaeD-dHzWEEZH1GezeyH_I2i1JVFlIfHdEiFek4B7ut5-8_XbPhVIigw9X0GTfKTU9npWg9ijmTepN5JxDCt-uBNTA4uLVsd440ZZS4aC_4_qxGp9mfFYPgDWP5qWS', 'width': 4624}]",,
OPERATIONAL,"{'location': {'lat': -6.1755133, 'lng': 106.829966}, 'viewport': {'northeast': {'lat': -6.174163420107278, 'lng': 106.8313307298927}, 'southwest': {'lat': -6.176863079892722, 'lng': 106.8286310701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Best View of Monas,ChIJEa8LwHH1aS4RpAZgrk541Tc,5.0,ChIJEa8LwHH1aS4RpAZgrk541Tc,GOOGLE,"['tourist_attraction', 'point_of_interest', 'establishment']",1,"RRFH+RX2, RT.5/RW.2, Gambir, Central Jakarta City",,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102830995705774892723"">102830995705774892723</a>'], 'photo_reference': 'AZose0njE44un9IR1IM5ivK37_Yu81PRM733kHdIDk7vVljvXj2Toh6IgMDxX4ey3RCeCWfGEiAtOyuYDWPODDC5_eqfBdoPLsRMxxH5JNewlBCYsmEkbH_fAcuWHeiuAvVUulXnugsNSQKikz-R6pcoY8Ghavst51_eTRcRhFISVEDlZnOi', 'width': 3024}]",,
OPERATIONAL,"{'location': {'lat': -6.173922999999999, 'lng': 106.829038}, 'viewport': {'northeast': {'lat': -6.172573170107277, 'lng': 106.8303878298927}, 'southwest': {'lat': -6.175272829892721, 'lng': 106.8276881701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Lapangan Bola Voli Monas,ChIJH0pIqA71aS4REm-yvmQW0YI,3.8,ChIJH0pIqA71aS4REm-yvmQW0YI,GOOGLE,"['tourist_attraction', 'point_of_interest', 'establishment']",4,"Merdeka Square, Jakarta, RT.5/RW.2, Gambir, Central Jakarta City",,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117881290510818212266"">Kromo Yuli</a>'], 'photo_reference': 'AZose0l6WiNOhTGaqWv7zisxJMnTxGwLRqsoQQd0JibndiGMmrI2hCo9d66mvy-ld7FCmQnNXJuD2VoYODF_l9UCSa05mxlB9ldbp0fkrSVJtG7FR1V463Aqv-7yKxEINNxF3Jak1vqhuVay6Z2clZU2E6gSpCI4noTv3_RLzHSck7z3IG9F', 'width': 3000}]","{'compound_code': 'RRGH+CJ Gambir, Central Jakarta City, Jakarta', 'global_code': '6P58RRGH+CJ'}",
OPERATIONAL,"{'location': {'lat': -6.1718983, 'lng': 106.8305203}, 'viewport': {'northeast': {'lat': -6.170444670107278, 'lng': 106.8316402298927}, 'southwest': {'lat': -6.173144329892722, 'lng': 106.8289405701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Istiqlal Mosque Fountain,ChIJD26u7831aS4RT8IMlVIb2Ac,4.6,ChIJD26u7831aS4RT8IMlVIb2Ac,GOOGLE,"['amusement_park', 'point_of_interest', 'establishment']",23,"RRHJ+66R, Gambir, Central Jakarta City",{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116521247517168364963"">diana ratri</a>'], 'photo_reference': 'AZose0l9_m2thHSmQU5O-q4IoiS2_C_EpM0PKGWhAiAvUQM8tmYdK3ar_Ld6oGctrahc-3KETHG8KQizebtig64yWe7bQFeicsC8npEo7cLsCIXbSWoy_syLrsabuNQ7ahlS5bLTyyrHIG8feGj9f68bb7gtV0ZG_15eAPZZyetEsRgtMX8q', 'width': 3000}]",,
