business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,place_id,rating,reference,scope,types,user_ratings_total,vicinity,plus_code,photos,price_level
OPERATIONAL,"{'location': {'lat': -6.166903599999999, 'lng': 106.8030863}, 'viewport': {'northeast': {'lat': -6.165706770107277, 'lng': 106.8045562798927}, 'southwest': {'lat': -6.168406429892721, 'lng': 106.8018566201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,SevenGadgetID,{'open_now': True},ChIJPx1vw3mOaS4RTONzEzCVXJw,4.0,ChIJPx1vw3mOaS4RTONzEzCVXJw,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",13,"No., Jl. Kh Hasyim Ashari No.125, RW.8, 10150, RW.8, Cideng, Kota Jakarta Pusat","{'compound_code': 'RRM3+66 Cideng, Central Jakarta City, Jakarta', 'global_code': '6P58RRM3+66'}","[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115739746347509353859"">Magda Hutasoit</a>'], 'photo_reference': 'AZose0l42aEYp3aDECecEgdnG93swBrSAe7murpJ2pb6vYjKNTymDw5S04MNnBEJK7RL5JPHcBSGByE-MNfOQNPU_Rosknnm6H9QYqw45abqjztg-B8-PiLp3OxP_TuZ2e9R89NAA-xUb-r6T2kl5Hdgl9Gw0vcrGUdfW9IDNGykzlSAf6y-', 'width': 540}]",
OPERATIONAL,"{'location': {'lat': -6.1695521, 'lng': 106.803831}, 'viewport': {'northeast': {'lat': -6.168167870107278, 'lng': 106.8051874298927}, 'southwest': {'lat': -6.170867529892722, 'lng': 106.8024877701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,itc Roxy,{'open_now': True},ChIJhev1z8j3aS4RakgdGEdH6u8,4.6,ChIJhev1z8j3aS4RakgdGEdH6u8,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",53,"8, Jl. Tanjung Selor No.31, RW.8, Cideng, Kota Jakarta Pusat","{'compound_code': 'RRJ3+5G Cideng, Central Jakarta City, Jakarta', 'global_code': '6P58RRJ3+5G'}","[{'height': 3200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108883249284150809013"">boby satria pradita</a>'], 'photo_reference': 'AZose0nLlM4g5PGyzZc2p-MxFLTxoe83Zx4S4eo4aOigtUP1-S9_EqjDUBIHSmxwAi1X_wrRBhq-7Ddd0F-7hHBZa4xlig71xtaJxmu_eJd6tzHC8aVPS1n4QgR8izcSYaKyQyhQVtAi39CFNiHa1s0Y6WtUpewLUWehc-pkBY-DovN31tCr', 'width': 1800}]",
OPERATIONAL,"{'location': {'lat': -6.166433, 'lng': 106.8029841}, 'viewport': {'northeast': {'lat': -6.165015670107278, 'lng': 106.8042846798927}, 'southwest': {'lat': -6.167715329892721, 'lng': 106.8015850201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,ITC Roxy Mas,{'open_now': True},ChIJs3Rm5rj3aS4RM2KQVElH7Ww,4.5,ChIJs3Rm5rj3aS4RM2KQVElH7Ww,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",24494,"Jl. KH. Hasyim Ashari No.125, Cideng, Kota Jakarta Pusat","{'compound_code': 'RRM3+C5 Cideng, Central Jakarta City, Jakarta', 'global_code': '6P58RRM3+C5'}","[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105103148144805774932"">dahlan _99</a>'], 'photo_reference': 'AZose0lC_P9lxfg5oiZhRFvPi8xwIvmAXVnEvok3vCblYUtmzlisyWrBosFYxmlkLP4iCrOkZ2tn2_81q1KqqEE9NF0er__MQvkuQzI6B5E9By3h7DhHZBVX6X4jdnTnvO_9hkDIZO6lLzjRO9Ao59luCuUHqtaPagQiwztBzpDeznRaxNES', 'width': 4000}]",
OPERATIONAL,"{'location': {'lat': -6.1662946, 'lng': 106.8029661}, 'viewport': {'northeast': {'lat': -6.164976220107279, 'lng': 106.8043172798927}, 'southwest': {'lat': -6.167675879892723, 'lng': 106.8016176201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,dipesanantar.com Trip Point@itc Roxy Mas,{'open_now': True},ChIJr-w5o_r3aS4ReaTE7lbvf3Q,5.0,ChIJr-w5o_r3aS4ReaTE7lbvf3Q,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",1,"Jl. KH. Hasyim Ashari No.5-17, RW.8, Cideng, Kota Jakarta Pusat","{'compound_code': 'RRM3+F5 Cideng, Central Jakarta City, Jakarta', 'global_code': '6P58RRM3+F5'}",,
OPERATIONAL,"{'location': {'lat': -6.166540599999999, 'lng': 106.8033017}, 'viewport': {'northeast': {'lat': -6.165188870107277, 'lng': 106.8047637798927}, 'southwest': {'lat': -6.167888529892721, 'lng': 106.8020641201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Toko Elzabran Lt Dasar No.147,{'open_now': True},ChIJHfc82mH3aS4RhFfkKrU5ZYc,5.0,ChIJHfc82mH3aS4RhFfkKrU5ZYc,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",1,"ITC ROXY MAS, RW.8, Cideng, Kota Jakarta Pusat","{'compound_code': 'RRM3+98 Cideng, Central Jakarta City, Jakarta', 'global_code': '6P58RRM3+98'}","[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106009416591465157929"">A Google User</a>'], 'photo_reference': 'AZose0m47Zla5tkVSd7t0gI61JM658zoECOAYOiTFCXfUlwsnV84lzooHTTR9JOSu6bPbWcVT-mUKvz5IeUiHecb6zWp7zcnxms0kxFvwiMmtdfA9NF7rTzyJvLBqOR7QG1FEuL7HIZ__UlvJ6Fh51hcCu5QwdHIp26U1xRHoVkPjEb6uyuJ', 'width': 1280}]",
OPERATIONAL,"{'location': {'lat': -6.166870299999999, 'lng': 106.8048946}, 'viewport': {'northeast': {'lat': -6.165538120107277, 'lng': 106.8061995798927}, 'southwest': {'lat': -6.168237779892721, 'lng': 106.8034999201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,PERFECT ACC,{'open_now': True},ChIJYa3UXmX2aS4RDf6XxLTPq9g,3.0,ChIJYa3UXmX2aS4RDf6XxLTPq9g,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",2,"Jl. Roxy Mas Pertokoan No.4, RT.7/RW.5, Cideng, Central Jakarta City","{'compound_code': 'RRM3+7X Cideng, Central Jakarta City, Jakarta', 'global_code': '6P58RRM3+7X'}",,
OPERATIONAL,"{'location': {'lat': -6.169135199999999, 'lng': 106.8047739}, 'viewport': {'northeast': {'lat': -6.167781320107277, 'lng': 106.8061301298927}, 'southwest': {'lat': -6.170480979892721, 'lng': 106.8034304701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Realme Roxy,{'open_now': True},ChIJIbpQ_yX3aS4RpsmMi96mEzA,3.9,ChIJIbpQ_yX3aS4RpsmMi96mEzA,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",7,"Jl. Roxy Mas Pertokoan No.1, RW.8, Cideng, Central Jakarta City","{'compound_code': 'RRJ3+8W Cideng, Central Jakarta City, Jakarta', 'global_code': '6P58RRJ3+8W'}",,
OPERATIONAL,"{'location': {'lat': -6.166407299999999, 'lng': 106.8032224}, 'viewport': {'northeast': {'lat': -6.164993370107278, 'lng': 106.8045745798927}, 'southwest': {'lat': -6.167693029892722, 'lng': 106.8018749201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,AM1NSHOP STORE,{'open_now': True},ChIJZRKFo1P3aS4RyBoS398220s,5.0,ChIJZRKFo1P3aS4RyBoS398220s,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",6,"RRM3+C7Q, RW, RW.8, Cideng, Kota Jakarta Pusat",,,
OPERATIONAL,"{'location': {'lat': -6.1667523, 'lng': 106.8028291}, 'viewport': {'northeast': {'lat': -6.165410270107278, 'lng': 106.8040051798927}, 'southwest': {'lat': -6.168109929892722, 'lng': 106.8013055201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,"Lucky Accessories, LT 3 Blok B No. 1 - 2",{'open_now': True},ChIJm4v1fm_2aS4Ru7MzNrmkbbg,4.5,ChIJm4v1fm_2aS4Ru7MzNrmkbbg,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",2,"RW.8, Cideng, Kota Jakarta Pusat",,"[{'height': 780, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107774220135026162920"">A Google User</a>'], 'photo_reference': 'AZose0ktTqzExzwe4LF-hMTgzIl9TONuREmnbAuYwObZghDuPVGFm8OJmasGlQCHeU99nVhaKwLoACJzfuoMSk29_k9mLlyTvEKFdt0IE1SdJXoCvkgiyS_vP6Q7zDH3FZgNNAQg3a39z_0XDJJ3OqAn-TOPe_iwnIZ4zefyBOF4gn53c3Zj', 'width': 1040}]",
OPERATIONAL,"{'location': {'lat': -6.165068199999999, 'lng': 106.8065456}, 'viewport': {'northeast': {'lat': -6.163722520107277, 'lng': 106.8078218298927}, 'southwest': {'lat': -6.166422179892721, 'lng': 106.8051221701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Andiva,{'open_now': True},ChIJ3eEXMHD2aS4RO8CE1eA6QE4,3.5,ChIJ3eEXMHD2aS4RO8CE1eA6QE4,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",2,"ITC Roxy Mas, Lantai, No. 88, JL KH. Hasyim Ashari, 10150, RT.15/RW.4, Duri Pulo, Kota Jakarta Pusat","{'compound_code': 'RRM4+XH Duri Pulo, Central Jakarta City, Jakarta', 'global_code': '6P58RRM4+XH'}","[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114159531951661632257"">A Google User</a>'], 'photo_reference': 'AZose0myaG_yB4aX-OMmxbu_AkKSn9nOTTBbA_a0ekjrpuCD7qwDnYpW8PZqj4P1fasWxxY_AbaPRYGnBseArwMVqYLu_qHIPEqorqROoo_pB4kmlzbSJhDFbxmataptflstwJudxQmE2yqrg1j5WP2EF0ibymNar4EVfBaTDj8rXbR9CoAq', 'width': 2560}]",
OPERATIONAL,"{'location': {'lat': -6.1676253, 'lng': 106.8010391}, 'viewport': {'northeast': {'lat': -6.166248070107278, 'lng': 106.8024298298927}, 'southwest': {'lat': -6.168947729892722, 'lng': 106.7997301701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,BerkahJayaStore08,{'open_now': False},ChIJyxUQNdP3aS4RctmQJfaE0lA,5.0,ChIJyxUQNdP3aS4RctmQJfaE0lA,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",9,"Jl. Tomang Banjir Kanal No.5, RT.4/RW.11, Tomang, West Jakarta City","{'compound_code': 'RRJ2+WC Tomang, West Jakarta City, Jakarta', 'global_code': '6P58RRJ2+WC'}","[{'height': 2250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117050124237900308931"">A Google User</a>'], 'photo_reference': 'AZose0mJmDKfmqeZnvTYm5sqUGJ6uigkU5iH4_a7bHQJscqjK8pPQUUnZIEBhkPOdEh1LI9NGV5dcpvKl4f0Bul_m8d8Br19EuDH7wNpmCIt4hiweBPtxEKrvgO_F7UzQIgBIaGDpafv0yDahSWFnuHCIY9AQ0HALCaJYDJHA38CkBqhkasM', 'width': 4000}]",
OPERATIONAL,"{'location': {'lat': -6.166823, 'lng': 106.8030757}, 'viewport': {'northeast': {'lat': -6.165469270107278, 'lng': 106.8046531798927}, 'southwest': {'lat': -6.168168929892722, 'lng': 106.8019535201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,XILO Mobile Phone Shop ITC Roxy Mas Lt.1 no 153A,{'open_now': True},ChIJQ8pSeYn3aS4Rz71cGwcpHbU,5.0,ChIJQ8pSeYn3aS4Rz71cGwcpHbU,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",1,"RW, RW.8, Cideng, Central Jakarta City",,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105442401629580650478"">Fun and Never Get Old</a>'], 'photo_reference': 'AZose0lPZYd0I-Mm40__aS-zFPnOlwXXNx7U7Goj5hwZeEX2N8V3wRRSM5to_GiCW-_VYbn-6aIT5dVBFDP-DwwA4w8w0eDCoMSMrCo1ywNCbxBMRG4LVHBuSRWm0VGxTBC7AGFxUBqfIZkPRdFkAjf_yc7Pre535-dPSMGwB4Y3JAqmmqFa', 'width': 3024}]",
OPERATIONAL,"{'location': {'lat': -6.160757599999999, 'lng': 106.8187836}, 'viewport': {'northeast': {'lat': -6.159636770107277, 'lng': 106.8197568298927}, 'southwest': {'lat': -6.162336429892721, 'lng': 106.8170571701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Gajah Mada Plaza,{'open_now': True},ChIJ58bMT9_1aS4Ritx56rfXtmY,4.3,ChIJ58bMT9_1aS4Ritx56rfXtmY,GOOGLE,"['shopping_mall', 'point_of_interest', 'establishment']",21290,"Jl. Gajah Mada No.19, RT.2/RW.1, North Petojo, Central Jakarta City","{'compound_code': 'RRQ9+MG North Petojo, Central Jakarta City, Jakarta', 'global_code': '6P58RRQ9+MG'}","[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117647272122207457521"">Juan Aditya</a>'], 'photo_reference': 'AZose0nJLDgj-Mjn_DOLeJ--Y7_zMut8ewo060kjPwQ-JqdbiurcG7D4rQO9lfJnfGbrhHkmRSNieh3rI2hASr6b0-QE3LXcOfwQRY38HfvtX4GR7tcFVIpzEITLoiKxWHdcG3zvZwDO3tqnXaKfWVeQV6xRYd6-oSicN3T87ffyvQFZpYPm', 'width': 3264}]",
